id_text,source,target,Type,ancient_author,recipient,dossier,senderloc,sender_title
P334504,Nabu-belu-kaʾʾin,Ilumma-taklak,undirected,Nabu-belu-kaʾʾin,Sargon II,SAA15.02.01.a,Diyala region,
P334504,Ilumma-taklak,Nabu-belu-kaʾʾin,undirected,Nabu-belu-kaʾʾin,Sargon II,SAA15.02.01.a,Diyala region,
P334333,Šarru,Ṭab-šar-Aššur,undirected,Ṭab-šar-Aššur,Sargon II,SAA01.03.01.a,Royal Court,LÚIGI.DUB GAL-u
P334333,Ṭab-šar-Aššur,Šarru,undirected,Ṭab-šar-Aššur,Sargon II,SAA01.03.01.a,Royal Court,LÚIGI.DUB GAL-u
P334887,Nabu-hamatua,Kuškaya,undirected,Kuškaya,Nabu-hamatua,SAA05.10.03.a,Mazamua,
P334887,Nabu-hamatua,Aššur-šarru-uṣur,undirected,Kuškaya,Nabu-hamatua,SAA05.10.03.a,Mazamua,
P334887,Kuškaya,Aššur-šarru-uṣur,undirected,Kuškaya,Nabu-hamatua,SAA05.10.03.a,Mazamua,
P334887,Kuškaya,Nabu-hamatua,undirected,Kuškaya,Nabu-hamatua,SAA05.10.03.a,Mazamua,
P334887,Aššur-šarru-uṣur,Nabu-hamatua,undirected,Kuškaya,Nabu-hamatua,SAA05.10.03.a,Mazamua,
P334887,Aššur-šarru-uṣur,Kuškaya,undirected,Kuškaya,Nabu-hamatua,SAA05.10.03.a,Mazamua,
P334150,Nabu-uṣalla,Mar-Issar,undirected,Nabu-uṣalla,Sargon II,SAA05.06.02.a,Tamnuna,LÚ*GAR.KUR URUtam-nu-na
P334150,Mar-Issar,Nabu-uṣalla,undirected,Nabu-uṣalla,Sargon II,SAA05.06.02.a,Tamnuna,LÚ*GAR.KUR URUtam-nu-na
P334143,Sin-ahhe-eriba,Ariye,undirected,Sin-ahhe-eriba,Sargon II,SAA01.02.01.a,Royal Court,
P334143,Sin-ahhe-eriba,Aššur-reṣuwa,undirected,Sin-ahhe-eriba,Sargon II,SAA01.02.01.a,Royal Court,
P334143,Ariye,Aššur-reṣuwa,undirected,Sin-ahhe-eriba,Sargon II,SAA01.02.01.a,Royal Court,
P334143,Ariye,Sin-ahhe-eriba,undirected,Sin-ahhe-eriba,Sargon II,SAA01.02.01.a,Royal Court,
P334143,Aššur-reṣuwa,Sin-ahhe-eriba,undirected,Sin-ahhe-eriba,Sargon II,SAA01.02.01.a,Royal Court,
P334143,Aššur-reṣuwa,Ariye,undirected,Sin-ahhe-eriba,Sargon II,SAA01.02.01.a,Royal Court,
P334674,Šulmu-beli-lašme,Mannu-ki-ahhe,undirected,Šulmu-beli-lašme,Sargon II,SAA05.05.04.a,Northeastern Assyria,
P334674,Mannu-ki-ahhe,Šulmu-beli-lašme,undirected,Šulmu-beli-lašme,Sargon II,SAA05.05.04.a,Northeastern Assyria,
P334483,Nabu-šumu-iddina,Mahumaya,undirected,Nabu-šumu-iddina,Sargon II,SAA15.05.03.a,Lahiru,LÚGAL-bir-ti
