id_word,lemma,form
P103277.7.2,sipa-si-ni[1]PN,sipa-si-ni,ReʾiSuʾen[1]PN
P124610.5.3,lugal-ka[1]PN,lugal-ka,lugal[king]N
P143238.5.4,dingir-su₂-lagab-me-tur[1]PN,dingir-su₂-lagab-me-tur,anzugulme[stone]
P113021.14.2,ma-lu-um[1]PN,ma-lu-um,malum[object]N
P103308.4.2,a₂-an-za[1]PN,a₂-an-za,aʾan[handle]N
P113914.5.2,wa-wa[1]PN,wa-wa
P290169.8.2,ur-nigar[1]PN,ur-nigar
P143408.7.2,bu-ga[1]PN,bu-ga
P134759.4.3,lugal-e₂[1]PN,lugal-e₂
P129700.8.1,ka-ur₄[1]PN,ka-ur₄
P125959.9.4,lil₂-lil₂-ri[1]PN,lil₂-lil₂-ri
P125959.10.1,lugal-mu[1]PN,lugal-mu
P134758.11.1,er₃-{d}nanna[1]PN,er₃-{d}nanna
P200497.21.5,lu₂-du-ul[1]PN,lu₂-du-ul
P332169.5.2,da-du-mu[1]PN,da-du-mu
P332169.13.2,zu₂-si-im-ta-e₃-a[1]PN,zu₂-si-im-ta-e₃-a
P332256.43.1,ba-a-KID[1]PN,ba-a-KID
P332256.160.2,mu-ni-zi[1]PN,mu-ni-zi
P332256.184.3,ku-din[1]PN,ku-din
P332256.203.2,gub-ba-TUR[1]PN,gub-ba-TUR
P125850.7.2,KU-ib-si-na-at[1]PN,KU-ib-si-na-at
P131604.4.1,šu-hal-un-du[1]PN,šu-hal-un-du
P131604.6.1,šu-ku-uk[1]PN,šu-ku-uk
P131604.6.3,me-ši-ad[1]PN,me-ši-ad
P131604.10.1,{d}šul-gi-ad-mu[1]PN,{d}šul-gi-ad-mu
P127667.6.1,kur-ti-{d}ba-za[1]PN,kur-ti-{d}ba-za
P111903.12.1,{d}šu-{d}suen-mi-gir-eš₁₈-dar[1]PN,{d}šu-{d}suen-mi-gir-eš₁₈-dar
P104185.4.1,{d}nin-lil₂-tum-nu-ri[1]PN,{d}nin-lil₂-tum-nu-ri
P143727.5.3,iri-lal₃-ta[1]PN,iri-lal₃-ta
P104058.16.3,nig₂-um-ma[1]PN,nig₂-um-ma
P106862.16.4,AN[1]PN,AN
P512776.5.2,ME-{d}LUGAL[1]PN,ME-{d}LUGAL
P512776.8.5,lu₂-DUN-a[1]PN,lu₂-DUN-a
P131638.5.2,i-da-be-li₂[1]PN,i-da-be-li₂
P134011.10.1,{d}utu-illat[1]PN,{d}utu-illat
P116199.7.2,gal-zu-da₅-bu₃-ul-si-in-ta[1]PN,gal-zu-da₅-bu₃-ul-si-in-ta
P126485.4.2,a-šu-šum₂[1]PN,a-šu-šum₂
P103801.4.5,da-ki[1]PN,da-ki
P135067.12.3,{d}nanna-{d}amar-{d}suen-ra-ki-ag₂-an-na[1]PN,{d}nanna-{d}amar-{d}suen-ra-ki-ag₂-an-na
P131618.27.4,AN[1]PN,AN
P128115.6.4,ma-aš[1]PN,ma-aš
P142964.11.4,ha-bu-ri₂-tum-ma[1]PN,ha-bu-ri₂-tum-ma
P103802.11.2,en-{d}nanna-{d}amar-{d}suen-ra-ki-ag₂-an-na[1]PN,en-{d}nanna-{d}amar-{d}suen-ra-ki-ag₂-an-na
P125033.9.3,uri₅{ki}-e-ki-ag₂[1]PN,uri₅{ki}-e-ki-ag₂
P125033.14.2,{d}suen-al-še₃[1]PN,{d}suen-al-še₃
P121524.4.2,ba-an-num₂[1]PN,ba-an-num₂
P103269.15.2,en-{d}nanna-{d}amar-{d}suen-ra-ki-ag₂-an-na[1]PN,en-{d}nanna-{d}amar-{d}suen-ra-ki-ag₂-an-na
P103951.4.1,a-wa-an[1]PN,a-wa-an
P104144.4.1,nam-ra-ak[1]PN,nam-ra-ak
P103121.17.2,a₂-{d}inanna[1]PN,a₂-{d}inanna
P126687.23.2,ka-dug[1]PN,ka-dug
P126687.45.1,lugal-mu[1]PN,lugal-mu
P126687.103.1,ša-at-ba-ba-ti[1]PN,ša-at-ba-ba-ti
P126687.119.1,in-ki-si₂-im-ti[1]PN,in-ki-si₂-im-ti
P126687.151.3,i-ṭi₂-ib-si-na-at[1]PN,i-ṭi₂-ib-si-na-at
P141796.14.2,a-la-num₂[1]PN,a-la-num₂
P141796.71.1,wa-qar-{d}šu-{d}suen-ba-za[1]PN,wa-qar-{d}šu-{d}suen-ba-za
P141796.118.4,AN[1]PN,AN
P141796.185.3,bi₂-za-za[1]PN,bi₂-za-za
P499321.8.2,zi-zu-uh₂[1]PN,zi-zu-uh₂
P130904.5.2,ih-ta-na-su₂-nu-ut[1]PN,ih-ta-na-su₂-nu-ut
P134044.4.2,ur-lal₃-ta[1]PN,ur-lal₃-ta
P127668.14.5,nig₂-ki-la₂[1]PN,nig₂-ki-la₂
P211187.7.1,mu-ni-in-ku₄-ra-a[1]PN,mu-ni-in-ku₄-ra-a
P124926.4.1,ni-za[1]PN,ni-za
P128401.5.2,im-mi-nu-us₂[1]PN,im-mi-nu-us₂
P134757.4.1,puzur₄-a-sur[1]PN,puzur₄-a-sur
P134757.9.1,er₃-{d}nanna[1]PN,er₃-{d}nanna
P101012.4.4,ur-nigar{gar}[1]PN,ur-nigar{gar}
P127321.3.12,ṣe-eh-ru-um[1]PN,ṣe-eh-ru-um
P125999.4.3,sa₂-ah-ha[1]PN,sa₂-ah-ha
P102853.5.3,iri-lal₃-ta[1]PN,iri-lal₃-ta
P291956.4.4,dingir-ka[1]PN,dingir-ka
P200026.5.2,ṣe-eh-ru-um[1]PN,ṣe-eh-ru-um
P125628.5.2,a-hu-nu-ta[1]PN,a-hu-nu-ta
P134756.14.1,er₃-{d}nanna[1]PN,er₃-{d}nanna
