transliteration,normalization,sign_names,remarks
A-AN-ba-az,A.AN.ba.az[]PN,A AN BA |PIRIG×ZA|,MVN 13 464 r 10 (copy/photo)
A-KU-um,A.KU.um[]PN,A KU UM,"Aegyptus 10, 270 27 o 7 (copy)"
A-KU.KU-ta,A.KU.KU[]PN,A KU KU TA,AnOr 12 277 o i 17' (copy)
A-NI-ta,A.NI[]PN,A NI TA,Babyl. 7 pl. 22 18 o 3 (copy)
A-U.E₂-nu-tuku,A.U.E₂.nu.tuku[]PN,A U E₂ NU TUK,AnOr 07 150 o 2: A-U.KID-nu-tuku IŠ (copy/photo)
A-a-bad₃,Ayabad[]PN,A A |EZEN×BAD|,
A-a-še₃,Aya[]PN,A A EŠ₂,
A-a-dingir,Ayadiŋir[]PN,A A AN,
A-a-dingir-mu,Ayadiŋirŋu[]PN,A A AN MU,
A-a-dingir-mu-ta,Ayadiŋirŋu[]PN,A A AN MU TA,
A-a-dingir-ta,Ayadiŋir[]PN,A A AN TA,
A-a-i₃-li₂,Abuʾili[]PN,A A NI NI,
A-a-i₃-li₂-šu,Abuʾilišu[]PN,A A NI NI ŠU,uncertain (Ayailišu?)
A-a-kal-la,Ayakala[]PN,A A KAL LA,
A-a-kal-la-mu,Ayakalaŋu[]PN,A A KAL LA MU,
A-a-kal-la-ta,Ayakala[]PN,A A KAL LA TA,
A-a-ma,Ayama[]PN,A A MA,hypo?
A-a-mu,Ayaŋu[]PN,A A MU,
A-a-mu-še₃,Ayaŋu[]PN,A A MU EŠ₂,
A-a-mu-dah,Ayaŋutah[]PN,A A MU |MU&MU|,
A-a-mu-ta,Ayaŋu[]PN,A A MU TA,
A-a-ni,Ayani[]PN,A A NI,= Ayanum?
A-a-ri₂-mu-še₃,Ayariŋu[]PN,A A URU MU EŠ₂,
A-a-ti,Ayati[]PN,A A TI,= Ayatum?
A-a-u₄-su₃-še₃,Ayaʾudsudše[]PN,A A UD SUD EŠ₂,
A-a-ur-sag,Ayaʾursaŋ[]PN,A A UR SAG,
A-a-{d}Nanna-ar-kal-la,AyaNannarkala[]PN,A A AN ŠEŠ KI IGI RI KAL LA,
A-ab-ba,Abba[]PN,A AB BA,
A-ab-ba-a,Abba[]PN,A AB BA A,
A-ab-ba-a-ta,Abba[]PN,A AB BA A TA,
A-ab-ba-bi,Abbabi[]PN,A AB BA BI,
A-ab-ba-bi-ta,Abbabi[]PN,A AB BA BI TA,
A-ab-ba-mmu,Abbaŋu[]PN,A AB BA MMU,typo
A-ab-ba-mu,Abbaŋu[]PN,A AB BA MU,
A-ab-ba-ni,Abbani[]PN,A AB BA NI,
A-ab-ba-sig₅,Abbasag[]PN,A AB BA IGI ERIN₂,
A-ab-ba-ta,Abba[]PN,A AB BA TA,
A-ab-mi-ra-din,A.ab.mi.ra.din[]PN,A AB MI RA DIN,WSem with Abu + vb?
A-ad-da,Adda[]PN,A AD DA,
A-ad-da-a,Adda[]PN,A AD DA A,
A-ad-da-mu,Addaŋu[]PN,A AD DA MU,
A-ad-da-ni-ra-am-an-ni,AbuniramAni[]PN,A AD DA NI RA |GUD×KUR| AN NI,uncertain; Akk.: father is beloved of Anu?
A-al-la,Alla[]PN,A AL LA,
A-al-la-mu,Allaŋu[]PN,A AL LA MU,
A-al-la-mu-ta,Allaŋu[]PN,A AL LA MU TA,
A-al-mu,Alŋu[]PN,A AL MU,= Allaŋu?
A-al-mu-ta,Alŋu[]PN,A AL MU TA,
A-am-ma,Ama[]PN,A |GUD×KUR| MA,
A-an-na,Ana[]PN,A AN NA,"or, Aʾanak (hypo for something like A-pada-anak?)"
A-an-na-ti,Anati[]PN,A AN NA TI,hypo?
A-ar-ba-tal,Arpatal[]PN,A IGI RI BA RI,Hurrian
A-ba,Abba[]PN,A BA,
A-ba-al-la-ta,AbaʾAlla[]PN,A BA AL LA TA,hypo for A-ba-al-la-gin7 (or similar)?
A-ba-al{ki},Awal[]SN,A BA AL KI,
A-ba-ar-da,Abarda[]PN,A BA IGI RI DA,= Abarduk? (1 PD)
A-ba-ar-du-uk,Abarduk[]PN,A BA IGI RI DU |PIRIG×UD|,= Abarda? (1 PD; Elamite?)
A-ba-ar-ni-um{ki},Abarniʾum[]SN,A BA IGI RI NI UM KI,
A-ba-ba,Ababa[]PN,A BA BA,
A-ba-šeš-mu-gen₇,Abašešŋugin[]PN,A BA ŠEŠ MU DIM₂,
A-ba-dingir-gen₇,Abadiŋirgin[]PN,A BA AN DIM₂,
A-ba-dingir-mu-gen₇,Abadiŋirŋugin[]PN,A BA AN MU DIM₂,
A-ba-e-ne-gen₇,Abaʾenegin[]PN,A BA E NE DIM₂,
A-ba-ni,Abani[]PN,A BA NI,"hypo, or 'who is he'?"
A-ba-sa₆-ga,Abbasaga[]PN,A BA ŠA₆ GA,
A-ba-sa₆-ga-ta,Abbasaga[]PN,A BA ŠA₆ GA TA,
A-ba-{d}Šara₂-ta,AbaŠara[]PN,A BA AN |LAGAB×IGI@G| TA,hypo?
A-ba-{d}En-lil₂-gen₇,AbaEnlilgin[]PN,A BA AN EN KID DIM₂,
A-ba-{d}En-lil₂-gen₇-ta,AbaEnlilgin[]PN,A BA AN EN KID DIM₂ TA,
A-ba-{d}en-lil₂-gen₇,AbaEnlilgin[]PN,A BA AN EN KID DIM₂,
A-bi-a-bi-ih,AbiʾEbih[]PN,A BI A BI |HI×NUN|,
A-bi-a-ti,Abiʾati[]PN,A BI A TI,
A-bi-nu-um,Abinum[]PN,A BI NU UM,
A-bi-si₂-im-ti,Abisimti[]PN,A BI ZI IM TI,
A-bi₂-DINGIR,Abiʾili[]PN,A NE AN,"or, Abiʾilum"
A-bi₂-DU₁₀,Abiṭab[]PN,A NE HI,
A-bi₂-DU₁₀-ta,Abiṭab[]PN,A NE HI TA,
