transliteration,normalization,remarks
A-AN-ba-az,A.AN.ba.az[]PN,MVN 13 464 r 10 (copy/photo)
A-KU-um,A.KU.um[]PN,"Aegyptus 10, 270 27 o 7 (copy)"
A-KU.KU-ta,A.KU.KU[]PN,AnOr 12 277 o i 17' (copy)
A-NI-ta,A.NI[]PN,Babyl. 7 pl. 22 18 o 3 (copy)
A-U.E₂-nu-tuku,A.U.E₂.nu.tuku[]PN,AnOr 07 150 o 2: A-U.KID-nu-tuku IŠ (copy/photo)
A-a-bad₃,Ayabad[]PN,
A-a-še₃,Aya[]PN,
A-a-dingir,Ayadiŋir[]PN,
A-a-dingir-mu,Ayadiŋirŋu[]PN,
A-a-dingir-mu-ta,Ayadiŋirŋu[]PN,
A-a-dingir-ta,Ayadiŋir[]PN,
A-a-i₃-li₂,Abuʾili[]PN,
A-a-i₃-li₂-šu,Abuʾilišu[]PN,uncertain (Ayailišu?)
A-a-kal-la,Ayakala[]PN,
A-a-kal-la-mu,Ayakalaŋu[]PN,
A-a-kal-la-ta,Ayakala[]PN,
A-a-ma,Ayama[]PN,hypo?
A-a-mu,Ayaŋu[]PN,
A-a-mu-še₃,Ayaŋu[]PN,
A-a-mu-dah,Ayaŋutah[]PN,
A-a-mu-ta,Ayaŋu[]PN,
A-a-ni,Ayani[]PN,= Ayanum?
A-a-ri₂-mu-še₃,Ayariŋu[]PN,
A-a-ti,Ayati[]PN,= Ayatum?
A-a-u₄-su₃-še₃,Ayaʾudsudše[]PN,
A-a-ur-sag,Ayaʾursaŋ[]PN,
A-a-{d}Nanna-ar-kal-la,AyaNannarkala[]PN,
A-ab-ba,Abba[]PN,
A-ab-ba-a,Abba[]PN,
A-ab-ba-a-ta,Abba[]PN,
A-ab-ba-bi,Abbabi[]PN,
A-ab-ba-bi-ta,Abbabi[]PN,
A-ab-ba-mmu,Abbaŋu[]PN,typo
A-ab-ba-mu,Abbaŋu[]PN,
A-ab-ba-ni,Abbani[]PN,
A-ab-ba-sig₅,Abbasag[]PN,
A-ab-ba-ta,Abba[]PN,
A-ab-mi-ra-din,A.ab.mi.ra.din[]PN,WSem with Abu + vb?
A-ad-da,Adda[]PN,
A-ad-da-a,Adda[]PN,
A-ad-da-mu,Addaŋu[]PN,
A-ad-da-ni-ra-am-an-ni,AbuniramAni[]PN,uncertain; Akk.: father is beloved of Anu?
A-al-la,Alla[]PN,
A-al-la-mu,Allaŋu[]PN,
A-al-la-mu-ta,Allaŋu[]PN,
A-al-mu,Alŋu[]PN,= Allaŋu?
A-al-mu-ta,Alŋu[]PN,
A-am-ma,Ama[]PN,
A-an-na,Ana[]PN,"or, Aʾanak (hypo for something like A-pada-anak?)"
A-an-na-ti,Anati[]PN,hypo?
A-ar-ba-tal,Arpatal[]PN,Hurrian
A-ba,Abba[]PN,
A-ba-al-la-ta,AbaʾAlla[]PN,hypo for A-ba-al-la-gin7 (or similar)?
A-ba-al{ki},Awal[]SN,
A-ba-ar-da,Abarda[]PN,= Abarduk? (1 PD)
A-ba-ar-du-uk,Abarduk[]PN,= Abarda? (1 PD; Elamite?)
A-ba-ar-ni-um{ki},Abarniʾum[]SN,
A-ba-ba,Ababa[]PN,
A-ba-šeš-mu-gen₇,Abašešŋugin[]PN,
A-ba-dingir-gen₇,Abadiŋirgin[]PN,
A-ba-dingir-mu-gen₇,Abadiŋirŋugin[]PN,
A-ba-e-ne-gen₇,Abaʾenegin[]PN,
A-ba-ni,Abani[]PN,"hypo, or 'who is he'?"
A-ba-sa₆-ga,Abbasaga[]PN,
A-ba-sa₆-ga-ta,Abbasaga[]PN,
A-ba-{d}Šara₂-ta,AbaŠara[]PN,hypo?
A-ba-{d}En-lil₂-gen₇,AbaEnlilgin[]PN,
A-ba-{d}En-lil₂-gen₇-ta,AbaEnlilgin[]PN,
A-ba-{d}en-lil₂-gen₇,AbaEnlilgin[]PN,
A-bi-a-bi-ih,AbiʾEbih[]PN,
A-bi-a-ti,Abiʾati[]PN,
A-bi-nu-um,Abinum[]PN,
A-bi-si₂-im-ti,Abisimti[]PN,
A-bi₂-DINGIR,Abiʾili[]PN,"or, Abiʾilum"
A-bi₂-DU₁₀,Abiṭab[]PN,
A-bi₂-DU₁₀-ta,Abiṭab[]PN,
A-bi₂-E₂,A.bi₂.E₂[]PN,Abibitim?
A-bi₂-UD.IŠ,AbiŠamšiš[]PN,"uncertain; Aegyptus 10, 270 28 o 6 (copy)"
A-bi₂-a,Abiʾa[]PN,"hypo?; or, Abiya?"
A-bi₂-a-bi-ih,AbiʾEbih[]PN,
A-bi₂-a-bi₂-ih,AbiʾEbih[]PN,
A-bi₂-a-mu-ti,Abiʾamuti[]PN,
A-bi₂-a-ta,Abiʾa[]PN,
A-bi₂-a-ti,Abiʾati[]PN,
A-bi₂-ba-na{ki},Abibana[]SN,
A-bi₂-šu,Abišu[]PN,
A-bi₂-iš-ki-in,Abiškin[]PN,< kânu
A-bi₂-iš-qi₂-il,Abišqil[]PN,< qâlu
A-bi₂-ki-in,Abikin[]PN,
A-bi₂-ri-ṣi,Abireṣi[]PN,
A-bi₂-si-im-ti,Abisimti[]PN,
