,BDTNS No,CDLI No,Original date,Converted Date
0,38699,P142785,IS01 - 08 - 00,85.08
1,38700,P142787,SS05 - 07 - 12,80.07119999999999
2,38701,P142788,SH48 - 12 - 20,66.122
3,38702,P142789,SS04 - XX - 15,79.0015
4,38703,P142790,XXXX - 01//02 - 01,0.0101
5,38704,P142791,AS06 - 11 - 19,72.1119
6,38706,P142793,SS07 - 12 - 00,82.12
7,38707,P142794,SH44 - 12 - 28,62.1228
8,38712,P142799,SH45 - 11 - 00,63.11
9,38716,P142803,SS06 - 12d - 29,81.1229
10,38718,P142805,XXXX - XX - 23,0.0023
11,38720,P142807,SS07 - 03 - 00,82.03
12,38722,P142809,AS05 - 09 - XX,71.09
13,38723,P142810,SS03 - 00 - 00,78.0
14,38724,P142811,SS01 - 05 - 03+,76.0503
15,38725,P142812,AS03 - 08 - 00,69.08
16,38726,P142813,AS03 - 11d - 28,69.1128
17,38760,P142849,SH47 - 02 - 00,65.02
18,38763,P142852,XXXX - XX - XX,0.0
19,38766,P142855,AS01 - 06 - 25,67.0625
20,38768,P142857,AS06 - 09 - 16,72.0916
21,38769,P142858,SS07 - 12 - 03,82.1203
22,38770,P142859,SS04 - 09 - 00,79.09
23,38779,P142868,AS02 - 05 - 00,68.05
24,158676,P248580,AS01 - 00 - 00,67.0
25,158680,P248618,SH47 - 06 - 17,65.0617
26,158678,P248623,SS09 - 04 - 00,84.04
27,158679,P248626,SH47 - 09 - 23,65.09230000000001
28,158677,P248629,SH46 - 03 - 06,64.0306
29,158681,P248636,SH40 - 05 - 19,58.051899999999996
30,158653,P248637,SH48 - 10 - 00,66.1
31,158654,P248651,SH44 - 09 - 00,62.09
32,158655,P248659,SH46 - 02 - 03,64.02029999999999
33,158657,P248672,AS05 - 06 - 00,71.06
34,158685,P248711,AS07 - 11 - 27,73.1127
35,158682,P248714,0000 - 00 - 00,0.0
36,158683,P248717,0000 - 08 - 00,0.08
37,158684,P248718,SH46 - 01 - 00,64.01
38,158656,P248675,SH46 - 12 - 03,64.1203
39,169883,P248713,XXXX - 03//04 - 00,0.03
40,158658,P248676,SH47 - 09 - 06,65.09060000000001
41,158659,P248683,SS08 - 05 - 00,83.05
42,158666,P248730,SS07 - 10 - 07,82.10069999999999
43,158667,P248731,AS07 - 03 - 09,73.0309
44,158668,P248732,IS02 - 09 - 16,86.0916
45,158669,P248734,SH46 - 05 - 00,64.05
46,158663,P248735,AS07 - 06 - 10,73.061
47,158664,P248736,SH47 - 10 - 13,65.1013
48,158665,P248737,AS05 - 03 - 00,71.03
49,158674,P248738,SS03 - 10 - 18,78.1018
50,158673,P248739,AS01 - 05 - 07,67.05069999999999
51,158672,P248740,SH44 - 02 - 01,62.020100000000006
52,158671,P248741,AS04 - 09m - 17,70.0917
53,158670,P248742,AS04 - 12 - 23,70.12230000000001
54,158675,P248743,AS06 - 07 - 24,72.07239999999999
55,158660,P248744,AS06 - 11 - 00,72.11
56,158661,P248745,AS08 - 11 - 28,74.1128
57,158662,P248746,AS07 - 10 - 09,73.1009
58,158650,P248792,SH41 - 12 - 00,59.12
59,158647,P248798,AS04 - 08 - 00,70.08
60,158645,P248804,0000 - 00 - 00,0.0
61,158646,P248805,0000 - 07 - 00,0.07
62,158644,P248830,SS06 - 12 - 00,81.12
63,22608,P128014,SH44 - 03m - 00,62.03
64,158652,P248864,SH48 - 07 - 18,66.0718
65,158649,P248867,SS05 - 00 - 00,80.0
66,158648,P248876,SH46 - 03 - 07,64.0307
67,158642,P248901,SH47 - 03 - 16,65.0316
68,158643,P248907,AS05 - 03 - 25,71.0325
69,157935,P248974,IS02 - 03 - 00,86.03
70,157949,P248989,SS03 - 06 - 00,78.06
71,157964,P249006,SH47 - 09 - 00,65.09
72,157967,P249013,AS06 - 01 - 23,72.01230000000001
73,157968,P249015,AS07 - 01 - 00,73.01
74,157969,P249018,SS01 - 12 - 00,76.12
75,157970,P249020,SS09 - 10 - XX,84.1
76,157971,P249019,IS01 - 12 - 00,85.12
77,157973,P249023,XXXX - XX - 25+,0.0025
78,158152,P249201,XXXX - XX - XX,0.0
79,166027,P330383,XXXX - XX - XX,0.0
80,166025,P330381,SS07 - 10 - 08,82.10079999999999
81,166034,P330390,SH45 - XX - 28,63.0028
82,166036,P330392,AS04 - 09m - 24,70.0924
83,166037,P330393,SS05 - 04 - 17,80.0417
84,166041,P330397,XXXX - XX - XX,0.0
85,166086,P330441,AS05 - 10 - 10,71.101
86,166088,P330443,AS07 - 08 - 09,73.0809
87,166104,P330458,SH46 - 01 - 24,64.0124
88,166105,P330459,SS09 - 12 - 28,84.1228
89,166108,P330462,SH46 - 05 - 00,64.05
90,166126,P330480,SH47 - 09 - 15,65.0915
91,166128,P330482,SH48 - 08 - 20,66.082
92,166130,P330484,SH48 - 11 - 00,66.11
93,166133,P330487,AS01 - 12 - 29,67.1229
94,166135,P330489,SH48 - 06 - 23,66.06230000000001
95,166139,P330493,SS09 - 08 - 00,84.08
96,166143,P330497,AS08 - 03 - 05,74.0305
97,166144,P330498,SH41 - 00 - 00,59.0
98,166145,P330499,SH46 - 01 - 00,64.01
99,166188,P330542,AS05 - 06 - 09,71.0609
100,166194,P330548,SH47? - 12 - 08,0.12079999999999999
101,166196,P330550,SH46 - 01 - 00,64.01
102,166219,P330572,AS05 - 02 - 26,71.0226
103,166229,P330582,SH46 - 06 - 25,64.0625
104,166241,P330594,SH44 - 09 - 29,62.0929
105,166263,P330616,SH45 - 11 - 06+,63.1106
106,166267,P330620,SH46 - 01 - 00,64.01
107,166269,P330622,XXXX - XX - XX,0.0
108,166276,P330628,SS04 - 06 - 12,79.0612
109,166278,P330630,SS06 - 08 - 30,81.083
110,166280,P330632,0000 - 00 - 11,0.0011
111,166281,P330633,SS08 - 08 - 10(+),83.081
112,166283,P330635,SH47 - 06 - 25,65.0625
113,166286,P330638,SH44 - 09 - 29,62.0929
114,166287,P330639,SS09 - 10 - 24,84.10239999999999
115,166290,P330642,SH46 - 04 - 03,64.0403
116,166291,P330643,SH47 - 10 - 08,65.10079999999999
117,166294,P330645,SH46 - XX - XX,64.0
118,166295,P330646,AS01 - 08 - 26,67.0826
119,166597,P330701,SS05 - 02 - 12,80.0212
120,166589,P330694,SH37 - 06 - 00,55.06
121,166592,P330696,SH46 - 03 - 00,64.03
122,166593,P330697,AS09 - 01 - 13,75.0113
123,166594,P330698,0000 - 00 - 00,0.0
124,166552,P330657,XXXX - XX - XX,0.0
125,166553,P330658,AS06 - 08 - 03,72.0803
126,166554,P330659,SH46 - 03 - 00,64.03
127,166555,P330660,SH47 - 06 - 25,65.0625
128,166556,P330661,SH47 - 07 - 15,65.07149999999999
129,166557,P330662,AS01 - 01 - 00,67.01
130,166558,P330663,AS01 - 08 - 21,67.0821
131,166559,P330664,AS01 - XX - 27,67.0027
132,166560,P330665,AS02 - 05 - 03,68.0503
133,166561,P330666,AS02 - 05 - 03,68.0503
134,166562,P330667,AS02 - 05 - 22,68.0522
135,166563,P330668,AS02 - 08 - 21,68.0821
136,166564,P330669,AS03 - 05 - 00,69.05
137,166565,P330670,AS03 - 10 - 06,69.1006
138,166566,P330671,AS03 - 10 - 07,69.10069999999999
139,166567,P330672,AS04 - 10 - 04,70.1004
140,166568,P330673,AS06 - 01 - 04,72.0104
141,166569,P330674,AS07 - 01 - 11,73.0111
142,166570,P330675,AS08 - 10 - 00,74.1
143,166571,P330676,AS02 - 03 - XX,68.03
