id_text,source,target,Type,ancient_author,recipient
P334887,Nabu-hamatua,Kuškaya,undirected,Kuškaya,
P334887,Nabu-hamatua,Aššur-šarru-uṣur,undirected,Kuškaya,
P334887,Kuškaya,Aššur-šarru-uṣur,undirected,Kuškaya,
P334150,Nabu-uṣalla,Mar-Issar,undirected,Nabu-uṣalla,
P334674,Šulmu-beli-lašme,Mannu-ki-ahhe,undirected,Šulmu-beli-lašme,
P313619,Dinanu,Išme-ilu,undirected,Dinanu,
P334187,Aššur-dur-paniya,Yataʾ,undirected,Aššur-dur-paniya,
P334187,Aššur-dur-paniya,Abi-yaqa,undirected,Aššur-dur-paniya,
P334187,Aššur-dur-paniya,Hu-Teššub,undirected,Aššur-dur-paniya,
P334187,Aššur-dur-paniya,Aššur-bessunu,undirected,Aššur-dur-paniya,
P334187,Yataʾ,Abi-yaqa,undirected,Aššur-dur-paniya,
P334187,Yataʾ,Hu-Teššub,undirected,Aššur-dur-paniya,
P334187,Yataʾ,Aššur-bessunu,undirected,Aššur-dur-paniya,
P334187,Abi-yaqa,Hu-Teššub,undirected,Aššur-dur-paniya,
P334187,Abi-yaqa,Aššur-bessunu,undirected,Aššur-dur-paniya,
P334187,Hu-Teššub,Aššur-bessunu,undirected,Aššur-dur-paniya,
P334831,Nabu-zeru-iddina,Ša-ili-dubbu,undirected,,
P334831,Ša-ili-dubbu,Nabu-zeru-iddina,undirected,,
P313462,Taklak-ana-Bel,Išmanni-Aššur,undirected,,
P313462,Taklak-ana-Bel,Nergal-eṭir,undirected,,
P313462,Išmanni-Aššur,Nergal-eṭir,undirected,,
P313422,Gabbu-ana-Aššur,Melarṭua,undirected,Gabbu-ana-Aššur,
P313422,Gabbu-ana-Aššur,Abaliuqunu,undirected,Gabbu-ana-Aššur,
P313422,Melarṭua,Abaliuqunu,undirected,Gabbu-ana-Aššur,
P334607,Nabu-ahu-uṣur,Iršumu,undirected,Nabu-ahu-uṣur,
P334607,Nabu-ahu-uṣur,Šarru-emuranni,undirected,Nabu-ahu-uṣur,
P334607,Nabu-ahu-uṣur,Nabu-hamatua,undirected,Nabu-ahu-uṣur,
P334607,Iršumu,Šarru-emuranni,undirected,Nabu-ahu-uṣur,
P334607,Iršumu,Nabu-hamatua,undirected,Nabu-ahu-uṣur,
P334607,Šarru-emuranni,Nabu-hamatua,undirected,Nabu-ahu-uṣur,
P334189,Nabu-ušabši,Igli,undirected,"Nabu-ušabši, Igli",
P334398,Gabbu-ana-Aššur,Abile,undirected,Gabbu-ana-Aššur,
P334529,Aššur-dur-paniya,Abu-ul-idi,undirected,Aššur-dur-paniya,
P334705,Aššur-leʾi,Nabu-hamatua,undirected,Adad-issiya,
P334705,Aššur-leʾi,Ullusunu,undirected,Adad-issiya,
P334705,Aššur-leʾi,Bel-ahhe,undirected,Adad-issiya,
P334705,Nabu-hamatua,Aššur-leʾi,undirected,Adad-issiya,
P334705,Nabu-hamatua,Ullusunu,undirected,Adad-issiya,
P334705,Nabu-hamatua,Bel-ahhe,undirected,Adad-issiya,
P334705,Ullusunu,Aššur-leʾi,undirected,Adad-issiya,
P334705,Ullusunu,Nabu-hamatua,undirected,Adad-issiya,
P334705,Ullusunu,Bel-ahhe,undirected,Adad-issiya,
P334447,Ša-Aššur-dubbu,Melarṭua,undirected,Aššur-reṣuwa,
P313840,Urzana,Rusa,undirected,,
P313542,Ariye,Ariaza,undirected,"Ariye, Ariṣa",
P336169,Šarru-emuranni,Marduk-remanni,undirected,Šarru-emuranni,
