label,eponym,Id
,False,
Radmanu,False,Radmanu
Ammi-raʾi,False,Ammi-raʾi
Kiṣir-Aššur,False,Kiṣir-Aššur
Nani,False,Nani
Nergal-balliṭ,False,Nergal-balliṭ
Sin-ahhe-eriba,True,Sin-ahhe-eriba
Naṣib-il,False,Naṣib-il
Adda-hati,False,Adda-hati
Erra-gamil,False,Erra-gamil
Harranu,False,Harranu
Niya,False,Niya
Aššur-patinu,False,Aššur-patinu
Tabni-ilu,False,Tabni-ilu
Adda-imme,False,Adda-imme
Marduk-zeru-ibni,False,Marduk-zeru-ibni
Igli,False,Igli
Nabu-dur-maki,False,Nabu-dur-maki
Dinanu,False,Dinanu
Ṣabatti,False,Ṣabatti
Marduk-šarru-uṣur,False,Marduk-šarru-uṣur
La-baši,False,La-baši
Belšunu,False,Belšunu
Šamaš-abu-uṣur,False,Šamaš-abu-uṣur
Gabbu-ana-Aššur,False,Gabbu-ana-Aššur
Tarriki-hallu,False,Tarriki-hallu
Mahumaya,False,Mahumaya
Ašapi,False,Ašapi
Nabu-šumu-uṣur,False,Nabu-šumu-uṣur
Eṭiru,False,Eṭiru
Habsi,False,Habsi
Ehiye,False,Ehiye
Karakku,False,Karakku
Šuzubu,False,Šuzubu
Nabu-balliṭanni,False,Nabu-balliṭanni
Esarhaddon,False,Esarhaddon
Bel-eṭir,False,Bel-eṭir
Hunanu,False,Hunanu
Ilu-piya-uṣur,False,Ilu-piya-uṣur
Rusa,False,Rusa
Bure,False,Bure
Kunaya,False,Kunaya
Gadya,False,Gadya
Tuʾayu,False,Tuʾayu
Šari,False,Šari
Ṣil-Šamaš,False,Ṣil-Šamaš
Nergal-...,False,Nergal-...
...ya,False,...ya
Bel-lamur,False,Bel-lamur
Badaya,False,Badaya
Hunni,False,Hunni
Bel-uduʾa,False,Bel-uduʾa
Šulmanu-...,False,Šulmanu-...
Adad-iriba,False,Adad-iriba
Kimumaya,False,Kimumaya
...-remanni,False,...-remanni
Aššur-reši-išši,False,Aššur-reši-išši
Ṣil-Bel,False,Ṣil-Bel
Remanni-Adad,False,Remanni-Adad
Zari,False,Zari
Nabu-ahhe-iddina,False,Nabu-ahhe-iddina
Mannu-ki-Adad,False,Mannu-ki-Adad
Saniye,False,Saniye
Humbe,False,Humbe
Bel-iqbi,False,Bel-iqbi
Nabu-šumu-iddina,False,Nabu-šumu-iddina
Mannu-iri,False,Mannu-iri
Akkadayu,False,Akkadayu
Marduk-apla-iddina,False,Marduk-apla-iddina
Adad-isseʾa,False,Adad-isseʾa
Adda-ramu,False,Adda-ramu
Nadin,False,Nadin
Šamaš-upahhir,True,Šamaš-upahhir
Nabu-killanni,False,Nabu-killanni
Raʾsunu,False,Raʾsunu
Aššur-bani,True,Aššur-bani
Nabu-taqqinanni,False,Nabu-taqqinanni
Nabu-eriba,False,Nabu-eriba
Šamaš-reʾuwa,False,Šamaš-reʾuwa
Aššur-belu-udaʾʾan,False,Aššur-belu-udaʾʾan
Raṣappaya,False,Raṣappaya
Eziye,False,Eziye
Abi-Seʾ,False,Abi-Seʾ
Marduk-šallim,False,Marduk-šallim
Nabu-epuš,False,Nabu-epuš
Aššur-nadin-ahhe,False,Aššur-nadin-ahhe
Rahdiaba,False,Rahdiaba
Bel-šarru-uṣur,False,Bel-šarru-uṣur
Abat-šarri-uṣur,False,Abat-šarri-uṣur
Kanunaya,False,Kanunaya
Atanha-Šamaš,False,Atanha-Šamaš
Gurdi,False,Gurdi
Baziya,False,Baziya
Aššur-dur-paniya,False,Aššur-dur-paniya
Ahu-bani,False,Ahu-bani
...-kaʾʾin,False,...-kaʾʾin
Šamaš-belu-uṣur,True,Šamaš-belu-uṣur
Bel-ahhe,False,Bel-ahhe
Adad-abuʾa,False,Adad-abuʾa
Mar-suri,False,Mar-suri
Il-yadaʾ,False,Il-yadaʾ
Bahianu,False,Bahianu
Aššur-alik-pani,False,Aššur-alik-pani
Umman-mina,False,Umman-mina
Uaksatar,False,Uaksatar
Mar-Yakin,False,Mar-Yakin
Balaṭi,False,Balaṭi
Mannu-ki-Aššur,False,Mannu-ki-Aššur
Harriru,False,Harriru
Mannu-ki-Arbail,False,Mannu-ki-Arbail
Musani,False,Musani
Zeru-ibni,True,Zeru-ibni
Nabu-ahu-uṣur,False,Nabu-ahu-uṣur
Aššur-šarrani,False,Aššur-šarrani
Ša-ili-dubbu,False,Ša-ili-dubbu
Nabu-zeru-ibni,False,Nabu-zeru-ibni
Naʾdi-ilu,True,Naʾdi-ilu
Bel-iqiša,False,Bel-iqiša
Samnuha-belu-uṣur,False,Samnuha-belu-uṣur
Suna,False,Suna
Gir-Dadi,False,Gir-Dadi
Abi-ramu,False,Abi-ramu
Ahat-abiša,False,Ahat-abiša
Ahu-lurši,False,Ahu-lurši
Marduk-šarrani,False,Marduk-šarrani
Amakani,False,Amakani
Metunu,False,Metunu
Aššur-remanni,False,Aššur-remanni
Nadin-ahhe,False,Nadin-ahhe
Urṣene,False,Urṣene
Nabu-zeru-iddina,False,Nabu-zeru-iddina
Nashir-Bel,True,Nashir-Bel
Nabu-šallim,False,Nabu-šallim
Yasumu,False,Yasumu
Sakuata,False,Sakuata
Mannu-ki-Ninua,False,Mannu-ki-Ninua
Keni,False,Keni
Batulu,False,Batulu
Pigat,False,Pigat
